"STATE","EVENT_TYPE","DEATCH_COUNT"
"ALABAMA","Flash Flood",4
"ALABAMA","Flood",28
"ALABAMA","Lightning",6
"ALABAMA","Rip Current",4
"ALABAMA","Thunderstorm Wind",5
"ALASKA","Avalanche",1
"ALASKA","Cold/Wind Chill",4
"ALASKA","Debris Flow",9
"ALASKA","Flash Flood",63
"ALASKA","Heavy Rain",1
"AMERICAN SAMOA","Rip Current",1
"ARIZONA","Cold/Wind Chill",1
"ARIZONA","Flash Flood",9
"ARIZONA","Heat",4
"ARIZONA","Lightning",3
"ARKANSAS","Excessive Heat",2
"ARKANSAS","Flash Flood",4
"ARKANSAS","Flood",8
"ARKANSAS","Lightning",1
"ARKANSAS","Strong Wind",1
"ARKANSAS","Thunderstorm Wind",1
"ARKANSAS","Tornado",8
"ATLANTIC NORTH","Marine Strong Wind",8
"ATLANTIC SOUTH","Marine Thunderstorm Wind",5
"CALIFORNIA","Avalanche",1
"CALIFORNIA","Flash Flood",4
"CALIFORNIA","High Surf",1
"CALIFORNIA","Lightning",1
"CALIFORNIA","Sneakerwave",1
"CALIFORNIA","Wildfire",21
"COLORADO","Avalanche",2
"COLORADO","Lightning",1
"CONNECTICUT","Thunderstorm Wind",1
"CONNECTICUT","Winter Weather",1
"E PACIFIC","Marine Strong Wind",4
"FLORIDA","Heavy Rain",1
"FLORIDA","High Surf",2
"FLORIDA","Lightning",5
"FLORIDA","Rip Current",17
"FLORIDA","Thunderstorm Wind",3
"GEORGIA","Excessive Heat",1
"GEORGIA","Rip Current",9
"GEORGIA","Thunderstorm Wind",1
"GUAM","High Surf",1
"GUAM","Hurricane",17
"GUAM","Rip Current",8
"GUAM","Tropical Storm",81
"GULF OF MEXICO","Marine Thunderstorm Wind",72
"HAWAII","Flash Flood",1
"HAWAII","High Surf",4
"HAWAII WATERS","Marine High Wind",2
"IDAHO","Thunderstorm Wind",16
"IDAHO","Winter Storm",1
"IDAHO","Winter Weather",2
"ILLINOIS","Cold/Wind Chill",22
"ILLINOIS","Flash Flood",7
"ILLINOIS","Flood",144
"ILLINOIS","Heat",1
"ILLINOIS","Thunderstorm Wind",2
"ILLINOIS","Tornado",8
"INDIANA","Cold/Wind Chill",1
"INDIANA","Flash Flood",4
"INDIANA","Flood",12
"INDIANA","Strong Wind",1
"INDIANA","Thunderstorm Wind",1
"INDIANA","Winter Weather",1
"IOWA","Blizzard",1
"IOWA","Lightning",2
"IOWA","Winter Storm",1
"KANSAS","Flash Flood",4
"KANSAS","Heat",1
"KANSAS","Thunderstorm Wind",1
"KENTUCKY","Cold/Wind Chill",6
"KENTUCKY","Extreme Cold/Wind Chill",2
"KENTUCKY","Flash Flood",77
"KENTUCKY","Flood",12
"KENTUCKY","Thunderstorm Wind",1
"KENTUCKY","Winter Storm",2
